name;ring;quadrant;isNew;description
Mikrotjenester;Adopt;Techniques;FALSE;
RuleSpeak;Adopt;Techniques;FALSE;"<p><strong>a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
Docker/Docker-compose;Adopt;Platforms;FALSE;
Cloud Native;Adopt;Platforms;FALSE;
Kubernetes;Adopt;Platforms;FALSE;
OpenShift;Trial;Platforms;FALSE;
Azure;Trial;Platforms;FALSE;
Google Cloud Platform;Trial;Platforms;FALSE;
Blaze Advisor;Adopt;Platforms;FALSE;"<p><strong>a href=""https://www.fico.com/en/products/fico-blaze-advisor-decision-rules-management-system"">Blaze Advisor</a><</strong></p>"
Sparkling Logic SMARTS;Adopt;Platforms;FALSE;"<p><strong>a href=""https://www.sparklinglogic.com/smarts-decision-manager/"">SMARTS Decision Manager</a><</strong></p>"
IntelliJ;Adopt;Tools;FALSE;
VisualCode;Assess;Tools;FALSE;
jq/xq/yq;Assess;Tools;FALSE;
Java;Adopt;languages-and-frameworks;FALSE;
Kotlin;Adopt;languages-and-frameworks;FALSE;
Javascript;Assess;languages-and-frameworks;FALSE;
Python;Assess;languages-and-frameworks;FALSE;
Spring Boot;Adopt;languages-and-frameworks;FALSE;"<p><strong>a href=""https://spring.io/projects/spring-boot"">Spring Boot</a><</strong>Brukes i NAV</p>"
